,Tau Eridanus,3h 2m 23.5s,-23° 37′ 28″,88,2.593016646,A,subgiant,8486.08451
,Rho Perseus,3h 5m 10.5s,+38° 50′ 25″,326,31.4251758,M,brightgiant,3581.00279
,HD 19275,3h 11m 56.3s,+74° 23′ 37″,163,2.866550227,A,mainsequence,9882.422537
Algol,Beta Perseus,3h 8m 10.1s,+40° 57′ 21″,93,5.337130619,B,mainsequence,10795.07392
,Iota Perseus,3h 9m 4s,+49° 36′ 48″,34,1.451086934,G,mainsequence,5967.54345
,Kappa Perseus,3h 9m 29.7s,+44° 51′ 27″,112,6.649740359,K,normalgiant,4791.276225
,Omega Perseus,3h 11m 17.3s,+39° 36′ 42″,326,14.08344032,K,normalgiant,4493.257892
,Delta Aries,3h 11m 37.7s,+19° 43′ 36″,171,8.045427377,K,normalgiant,4671.844618
,Alpha Fornax,3h 12m 4.2s,-28° 59′ 14″,46,2.024982822,F,mainsequence,6343.880599
,Zeta Aries,3h 14m 54s,+21° 2′ 40″,362,6.0323925,A,mainsequence,10381.76661
,Zeta Eridanus,3h 15m 49.9s,-8° 49′ 11″,120,2.725882123,A,,7937.866695
,HD 20336,3h 19m 59.3s,+65° 39′ 9″,616,8.692287143,B,mainsequence,12488.51085
,HD 20468,3h 18m 43.7s,+34° 13′ 21″,577,27.06900123,K,hypergiant,3808.609875
,15 Eridanus,3h 18m 22.1s,-22° 30′ 41″,271,9.426640021,G,normalgiant,4996.415833
,Kappa Cetus,3h 19m 21.6s,+03° 22′ 13″,29,0.905187544,G,mainsequence,5670.983534
,HD 20644,3h 20m 20.3s,+29° 2′ 55″,254,14.27813063,K,normalgiant,3734.317309
,32 Perseus,3h 21m 26.5s,+43° 19′ 47″,155,2.70233294,A,mainsequence,9652.203136
,Tau Eridanus,3h 19m 30.9s,-21° 45′ 28″,271,22.39431321,M,supergiant,3621.507053
,HD 20794,3h 19m 55.6s,-43° 4′ 11″,19,0.7853641479,G,normalgiant,5567.728737
Mirfak,Alpha Perseus,3h 24m 19.3s,+49° 51′ 41″,529,58.87133117,F,supergiant,6481.008924
,Omicron Taurus,3h 24m 48.7s,+09° 1′ 44″,217,13.5368668,G,normalgiant,5023.375178
,HD 21278,3h 28m 3s,+49° 3′ 46″,442,6.339263603,B,mainsequence,11572.81773
,HD 21291,3h 29m 4.1s,+59° 56′ 25″,3228,111.3733827,B,supergiant,6827.435711
,Xi Taurus,3h 27m 10.1s,+09° 43′ 58″,232,5.947816189,B,mainsequence,11407.3413
,HD 21389,3h 29m 54.8s,+58° 52′ 44″,3228,107.0697336,A,supergiant,6128.711337
,34 Perseus,3h 29m 22s,+49° 30′ 32″,436,7.317461748,B,mainsequence,11407.3413
,Sigma Perseus,3h 30m 34.4s,+47° 59′ 43″,362,19.55161432,K,normalgiant,4051.195837
,5 Taurus,3h 30m 52.3s,+12° 56′ 12″,362,20.24546022,K,hypergiant,4450.829467
,17 Eridanus,3h 30m 37s,-5° 4′ 31″,407,6.644561484,B,mainsequence,11407.3413
,Kappa Reticulum,3h 29m 22.6s,-62° 56′ 16″,70,1.903326345,F,subgiant,6880.241819
,Epsilon Eridanus,3h 32m 55.8s,-9° 27′ 30″,10,0.584305991,K,mainsequence,5050.644696
,Psi Perseus,3h 36m 29.3s,+48° 11′ 34″,300,6.428539308,B,mainsequence,10941.16853
,Tau Eridanus,3h 33m 47.2s,-21° 37′ 59″,296,5.689201484,B,mainsequence,11920.49736
,10 Taurus,3h 36m 52.3s,+00° 24′ 6″,45,1.693495361,F,mainsequence,6087.546962
,HD 22663,3h 37m 5.6s,-40° 16′ 29″,232,9.958676967,K,normalgiant,4648.707065
,Delta Perseus,3h 42m 55.4s,+47° 47′ 15″,543,18.73202965,B,normalgiant,11920.49736
,40 Perseus,3h 42m 22.5s,+33° 57′ 54″,1211,19.69812867,B,mainsequence,10251.71238
,HD 23089,3h 46m 2.3s,+63° 20′ 42″,162,5.588990916,G,normalgiant,5250.706383
,Omicron Perseus,3h 44m 19.1s,+32° 17′ 18″,779,23.0144085,B,normalgiant,9541.500263
,Delta Fornax,3h 42m 14.9s,-31° 56′ 18″,564,7.308381828,B,subgiant,12691.66294
,Nu Perseus,3h 45m 11.6s,+42° 34′ 43″,510,21.51290207,F,brightgiant,6775.501819
,Delta Eridanus,3h 43m 14.8s,-9° 45′ 48″,29,1.889659039,K,subgiant,4943.40587
Electra,17 Taurus,3h 44m 52.5s,+24° 6′ 48″,407,10.21801406,B,normalgiant,11920.49736
,HD 23319,3h 42m 50s,-37° 18′ 49″,181,8.34391836,K,normalgiant,4308.727009
Taygete,19 Taurus,3h 45m 12.4s,+24° 28′ 2″,407,7.867691608,B,subgiant,11743.77313
,Gamma Camelopardalis,3h 50m 21.5s,+71° 19′ 57″,362,7.129435261,A,subgiant,9765.803485
Maia,20 Taurus,3h 45m 49.5s,+24° 22′ 4″,362,9.031717696,B,normalgiant,11091.76123
,HD 23475,3h 49m 31.2s,+65° 31′ 34″,243,15.39096787,M,supergiant,3299.044335
Merope,23 Taurus,3h 46m 19.5s,+23° 56′ 54″,362,7.937872436,B,subgiant,10941.16853
,Pi Eridanus,3h 46m 8.4s,-12° 6′ 6″,543,32.20891048,M,normalgiant,3621.507053
Alcyone,Eta Taurus,3h 47m 29s,+24° 6′ 18″,407,15.64892774,B,normalgiant,11407.3413
,Tau Eridanus,3h 46m 50.8s,-23° 14′ 59″,59,2.041411857,F,normalgiant,6775.501819
,Beta Reticulum,3h 44m 12s,-64° 48′ 26″,101,6.337466808,K,normalgiant,4450.829467
Atlas,27 Taurus,3h 49m 9.7s,+24° 3′ 12″,407,11.07840459,B,normalgiant,11407.3413
,HD 24072,3h 48m 35.8s,-37° 37′ 14″,163,2.788860287,B,mainsequence,10251.71238
,HD 24160,3h 49m 27.2s,-36° 12′ 1″,217,10.74802181,G,normalgiant,4866.084384
,Zeta Perseus,3h 54m 7.9s,+31° 53′ 1″,932,48.13495561,B,supergiant,8571.321931
,HD 24480,3h 57m 8.2s,+61° 6′ 32″,332,14.10728047,K,brightgiant,3870.29564
,Gamma Hydrus,3h 47m 14.5s,-74° 14′ 21″,217,22.16297057,M,normalgiant,3621.507053
,32 Eridanus,3h 54m 17.4s,-2° 57′ 17″,362,13.40643598,G,normalgiant,4891.57251
,Tau Eridanus,3h 53m 42.6s,-24° 36′ 45″,407,6.497521069,B,mainsequence,12103.30141
,Epsilon Perseus,3h 57m 51.2s,+40° 0′ 37″,543,17.98491378,B,mainsequence,13121.15393
,Xi Perseus,3h 58m 57.8s,+35° 47′ 28″,2624,67.95216007,O,,9882.422537
Zaurak,Gamma Eridanus,3h 58m 1.7s,-13° 30′ 31″,232,27.00045438,M,normalgiant,3649.041928
,Lambda Taurus,4h 0m 40.8s,+12° 29′ 25″,407,11.67802345,B,subgiant,11920.49736
,Tau Eridanus,3h 59m 55.4s,-24° 0′ 59″,362,5.663986472,B,mainsequence,12292.51942
,Delta Reticulum,3h 58m 44.7s,-61° 24′ 1″,543,30.19775518,M,supergiant,3621.507053
,Nu Taurus,4h 3m 9.3s,+05° 59′ 22″,130,3.61639152,A,mainsequence,9765.803485
,37 Taurus,4h 4m 41.7s,+22° 4′ 55″,181,8.685352368,K,normalgiant,4580.719962
,Lambda Perseus,4h 6m 35s,+50° 21′ 5″,362,8.354170302,A,subgiant,9882.422537
,Gamma Reticulum,4h 0m 53.8s,-62° 9′ 34″,543,31.25070554,M,normalgiant,3581.00279
,Iota Reticulum,4h 1m 18.2s,-61° 4′ 44″,362,15.40642806,K,normalgiant,3917.94294
,48 Perseus,4h 8m 39.6s,+47° 42′ 45″,299,7.309629388,B,mainsequence,10515.56178
,Omicron Eridanus,4h 11m 51.9s,-6° 50′ 16″,130,4.550580145,F,normalgiant,7276.378482
,Delta Horologium,4h 10m 50.5s,-41° 59′ 37″,181,4.224744083,A,mainsequence,7276.378482
,Mu Perseus,4h 14m 53.8s,+48° 24′ 34″,1833,91.69224065,G,supergiant,4840.875442
,52 Perseus,4h 14m 53.3s,+40° 29′ 2″,2361,94.04880463,G,supergiant,4718.856086
,47 Taurus,4h 13m 56.3s,+09° 15′ 49″,407,13.64459009,G,normalgiant,5280.671927
,39 Eridanus,4h 14m 23.6s,-10° 15′ 23″,217,8.753406856,K,normalgiant,4348.347923
,Mu Taurus,4h 15m 32s,+08° 53′ 32″,465,9.737620703,B,subgiant,10941.16853
,HD 26961,4h 18m 14.6s,+50° 17′ 44″,326,6.647279569,A,mainsequence,9652.203136
,Omicron Eridanus,4h 15m 16.3s,-7° 39′ 10″,16,0.6551613406,K,mainsequence,5221.100154
,Alpha Horologium,4h 14m 0.1s,-42° 17′ 40″,120,7.388942596,K,normalgiant,4514.792643
,Omega Taurus,4h 17m 15.6s,+20° 34′ 43″,95,2.050786199,A,,7795.184395
